36.89	13.49	8.09	8.22	6.65	5.33	4.52	4.17	4.06	3.31	2.52	1.86	0.8	0.1	0	0	0
19.86	12.7	10.1	9.25	9.38	8.4	7.24	6.44	6.24	4.03	2.99	2.25	0.94	0.16	0.01	0	0
51.29	16.52	8.74	6.07	4.91	4.49	3.22	2.25	1.31	0.75	0.31	0.13	0	0	0	0	0
62.9	14.75	8.1	5.3	3.33	2.36	1.38	1.03	0.44	0.19	0.16	0.05	0.02	0	0	0	0
22.56	11.72	7.21	7.42	6.46	7.39	7.55	6.31	7.14	6.79	4.96	3.1	1.15	0.19	0.05	0	0
28.13	18.52	13.7	9.39	8.05	5.12	4.12	3.49	2.4	2.39	2.04	1.62	0.6	0.31	0.12	0	0
68.61	12.06	4.89	3.92	2.67	2.06	1.5	1.28	1.25	0.81	0.48	0.29	0.16	0.01	0	0	0
15.47	9.42	8.65	9.4	8.77	9.39	9.13	8.43	7.12	5.51	4.21	3.02	1.17	0.28	0.04	0	0
51.91	14.98	9.08	6.65	5.43	4.13	3.51	2.48	1.04	0.56	0.19	0.04	0	0	0	0	0
40.11	14.51	10	7.9	5.44	5.6	4.7	3.52	2.51	2.39	1.61	1.14	0.42	0.15	0	0	0
49.9	16.92	9.35	6.5	4.48	3.7	2.69	1.87	1.69	1.22	0.92	0.56	0.14	0.06	0	0	0
18.81	14.8	10.67	8.73	7.09	6.73	5.74	5.16	5	4.41	4.77	4.39	2.37	1.08	0.27	0	0
