3.28	3.12	29.93	18.34	12.86	32.48
23.43	6.49	28.96	16.51	8.47	16.13
39.66	7.18	18.64	20.58	10.67	3.28
61.9	7.85	13.1	13.46	3.47	0.22
74.88	4.34	3.3	16.1	0.99	0.39
6.63	1.93	29.46	18.91	11.96	31.11
15.08	13.93	26.68	10.41	15.45	18.45
10.55	37.04	26.67	6.18	15.13	4.43
19	44.97	11.63	6.93	15.07	2.4
16.13	55.64	5.46	6.33	16.44	0
7.51	3.39	11.94	26.77	17.28	33.1
7.22	3.27	37.67	10.23	7.56	34.04
6.87	4.67	52.57	5.36	5.92	24.61
6	2.56	60.02	3.26	3.43	24.72
7.5	5.23	72.98	1.82	1.65	10.82
6.04	3.84	37.3	7.87	11	33.96
14.18	4.55	12.33	28.8	17.87	22.27
8.69	2.38	6.32	51.12	13.31	18.17
6.78	2.32	1.66	69.35	13.12	6.77
4.96	0.95	0.92	82.37	6.67	4.13
8.01	3.15	35.13	14.95	6.73	32.04
5.51	6.09	19.56	24.56	18.22	26.07
6.61	5.07	10.31	28.21	29.23	20.58
2.05	4.36	6.33	24.09	47.5	15.67
1.99	1.36	7.48	26.63	48.55	13.98
10.51	4.75	32.61	21.51	14.28	16.34
4.02	3.32	31.61	17.49	11.79	31.78
4.51	2.35	29.62	13.41	9.25	40.86
4.35	2.38	24.42	10.71	10.33	47.81
1.64	1.73	14.49	9.09	3.46	69.6
1.81	5.26	8.28	24.93	38.47	21.26
21.33	12.01	8.67	27.45	25.67	4.88
30	7.24	14.94	36.62	10.88	0.32
46.69	6.33	28.51	13.22	3.37	1.88
58.61	1.3	23.9	13.79	2.4	0
2.33	3.27	8.73	26.49	37.52	21.65
12.21	14.92	8.81	17.83	35.44	10.8
6.79	33.07	5.14	10.13	35.08	9.78
9.28	39.94	4.84	7.14	37.5	1.3
22.46	50.83	2.29	3.58	19.15	1.71
2.74	5	3.11	27.81	40.12	21.22
8.23	10.71	28.21	12.05	25.73	15.07
5.58	3.14	44.74	6.61	19.69	20.25
7.34	11.36	52.36	5.51	15.74	7.69
7.45	7.11	72.04	0.33	3.88	9.19
3	6.78	11.63	11.7	41.95	24.94
5.03	5.13	3.92	37.31	36.2	12.41
3.36	1.6	2.15	54.29	28.02	10.58
3.9	1.94	1.21	65.16	18.71	9.08
2.82	0.23	0	85.27	7.88	3.8
4.15	5.28	13.58	28.73	20.11	28.16
3.88	7.69	6.35	25.42	38.71	17.94
2.39	5.29	4.73	22.51	52.28	12.8
1.99	5.06	1.67	20.27	61.43	9.59
1.32	4	1.14	15.15	72.76	5.63
3.78	6.52	7.92	27.27	43.35	11.17
3.02	4.64	11.31	25.45	29.15	26.43
2.78	4.38	10.56	20.23	27.41	34.64
1.35	1.36	7.58	12.54	21.32	55.87
2.31	1.85	6.3	12.28	8.04	69.22
