2.88	2.75	26.34	16.14	11.32	28.58
1.58	0.44	1.96	1.11	0.57	1.09
0.98	0.18	0.46	0.51	0.26	0.08
1.22	0.15	0.26	0.26	0.07	0
0.6	0.03	0.03	0.13	0.01	0
6.12	1.78	27.18	17.45	11.04	28.71
0.79	0.73	1.41	0.55	0.81	0.97
0.13	0.45	0.32	0.08	0.18	0.05
0.17	0.41	0.11	0.06	0.14	0.02
0.05	0.18	0.02	0.02	0.05	0
4.44	2	7.05	15.8	10.2	19.54
1.03	0.47	5.36	1.45	1.07	4.84
0.54	0.37	4.17	0.42	0.47	1.95
0.6	0.26	6.05	0.33	0.35	2.49
0.66	0.46	6.39	0.16	0.14	0.95
4.51	2.87	27.84	5.87	8.21	25.35
1.81	0.58	1.58	3.68	2.28	2.85
0.45	0.12	0.33	2.66	0.69	0.94
0.33	0.11	0.08	3.33	0.63	0.32
0.13	0.02	0.02	2.12	0.17	0.11
5.93	2.34	26.02	11.07	4.98	23.74
0.81	0.89	2.87	3.6	2.67	3.82
0.37	0.29	0.58	1.59	1.64	1.16
0.08	0.17	0.25	0.95	1.87	0.62
0.03	0.02	0.13	0.45	0.82	0.24
5.32	2.41	16.52	10.9	7.24	8.28
0.77	0.64	6.05	3.35	2.26	6.09
0.51	0.26	3.34	1.51	1.04	4.6
0.51	0.28	2.85	1.25	1.21	5.59
0.12	0.12	1.05	0.66	0.25	5.03
1.7	4.94	7.78	23.43	36.16	19.98
0.76	0.43	0.31	0.97	0.91	0.17
0.46	0.11	0.23	0.56	0.17	0
0.32	0.04	0.2	0.09	0.02	0.01
0.15	0	0.06	0.03	0.01	0
2.06	2.89	7.71	23.41	33.15	19.13
0.94	1.15	0.68	1.37	2.73	0.83
0.14	0.69	0.11	0.21	0.73	0.2
0.13	0.58	0.07	0.1	0.54	0.02
0.1	0.22	0.01	0.02	0.08	0.01
2.37	4.32	2.69	24.02	34.65	18.32
0.49	0.64	1.69	0.72	1.54	0.9
0.15	0.08	1.17	0.17	0.51	0.53
0.22	0.34	1.59	0.17	0.48	0.23
0.15	0.14	1.44	0.01	0.08	0.18
2.02	4.56	7.83	7.88	28.24	16.79
0.73	0.74	0.57	5.41	5.25	1.8
0.24	0.12	0.16	3.91	2.02	0.76
0.29	0.15	0.09	4.9	1.41	0.68
0.1	0.01	0	2.96	0.27	0.13
2.04	2.6	6.69	14.14	9.9	13.86
0.72	1.42	1.17	4.7	7.15	3.32
0.24	0.53	0.48	2.26	5.26	1.29
0.23	0.6	0.2	2.39	7.25	1.13
0.14	0.42	0.12	1.58	7.59	0.59
2.48	4.28	5.2	17.9	28.46	7.33
0.52	0.8	1.96	4.41	5.05	4.58
0.22	0.35	0.85	1.63	2.21	2.79
0.08	0.08	0.42	0.7	1.19	3.13
0.08	0.06	0.21	0.41	0.27	2.34
